Cell	Lineage Name	Description
AB	P0.a	Embryonic founder cell
ADAL	AB.plapaaaapp	Ring interneurons
ADAR	AB.prapaaaapp	Ring interneurons
ADEL	AB.plapaaaapa	Anterior deirid, sensory neuron, dopaminergic
ADER	AB.prapaaaapa	Anterior deirid, sensory neuron, dopaminergic
ADEshL	AB.arppaaaa	Anterior deirid sheath
ADEshR	AB.arpppaaa	Anterior deirid sheath
ADEsoL	H2L.aa	Anterior deirid socket
ADEsoR	H2R.aa	Anterior deirid socket
ADFL	AB.alpppppaa	Amphid neuron, prob. chemosensory
ADFR	AB.praaappaa	Amphid neuron, prob. chemosensory
ADLL	AB.alppppaad	Amphid neuron, prob. chemosensory
ADLR	AB.praaapaad	Amphid neuron, prob. chemosensory
AFDL	AB.alpppapav	Amphid finger cell, neuron associated with amphid sheath
AFDR	AB.praaaapav	Amphid finger cell, neuron associated with amphid sheath
AIAL	AB.plppaappa	Amphid interneuron
AIAR	AB.prppaappa	Amphid interneuron
AIBL	AB.plaapappa	Amphid interneuron
AIBR	AB.praapappa	Amphid interneuron
AIML	AB.plpaapppa	Ring interneuron
AIMR	AB.prpaapppa	Ring interneuron
AINL	AB.alaaaalal	Ring interneuron
AINR	AB.alaapaaar	Ring interneuron
AIYL	AB.plpapaaap	Amphid interneuron
AIYR	AB.prpapaaap	Amphid interneuron
AIZL	AB.plapaaapav	Amphid interneuron
AIZR	AB.prapaaapav	Amphid interneuron
ALA	AB.alapppaaa	Neuron, sends processes laterally and along dorsal cord
ALML	AB.arppaappa	Anterior lateral microtubule cell, touch receptor
ALMR	AB.arpppappa	Anterior lateral microtubule cell, touch receptor
ALNL	AB.plapappppap	Neuron associated with ALM
ALNR	AB.prapappppap	Neuron associated with ALM
AMshL	AB.plaapaapp	Amphid sheath
AMshR	AB.praapaapp	Amphid sheath
AMsoL	AB.plpaapapa	Amphid socket
AMsoR	AB.prpaapapa	Amphid sheath
AQR	QR.ap	Neuron, basal body. not part of a sensillum, projects into ring
AS1	P1.apa	Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart
AS2	P2.apa	Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart
AS3	P3.apa	Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart
AS4	P4.apa	Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart
AS5	P5.apa	Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart
AS6	P6.apa	Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart
AS7	P7.apa	Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart
AS8	P8.apa	Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart
AS9	P9.apa	Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart
AS10	P10.apa	Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart
AS11	P11.apa	Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart
ASEL	AB.alppppppaa	Amphid neurons, single ciliated endings, probably chemo-sensory; project into ring via commissure from ventral ganglion, make diverse synaptic connections in ring neuropil
ASER	AB.praaapppaa	Amphid neurons, single ciliated endings, probably chemo-sensory; project into ring via commissure from ventral ganglion, make diverse synaptic connections in ring neuropil
ASGL	AB.plaapapap	Amphid neurons, single ciliated endings, probably chemo-sensory; project into ring via commissure from ventral ganglion, make diverse synaptic connections in ring neuropil
ASGR	AB.praapapap	Amphid neurons, single ciliated endings, probably chemo-sensory; project into ring via commissure from ventral ganglion, make diverse synaptic connections in ring neuropil
ASHL	AB.plpaappaa	Amphid neurons, single ciliated endings, probably chemo-sensory; project into ring via commissure from ventral ganglion, make diverse synaptic connections in ring neuropil
ASHR	AB.prpaappaa	Amphid neurons, single ciliated endings, probably chemo-sensory; project into ring via commissure from ventral ganglion, make diverse synaptic connections in ring neuropil
ASIL	AB.plaapapppa	Amphid neurons, single ciliated endings, probably chemo-sensory; project into ring via commissure from ventral ganglion, make diverse synaptic connections in ring neuropil
ASIR	AB.praapapppa	Amphid neurons, single ciliated endings, probably chemo-sensory; project into ring via commissure from ventral ganglion, make diverse synaptic connections in ring neuropil
ASJL	AB.alpppppppa	Amphid neurons, single ciliated endings, probably chemo-sensory; project into ring via commissure from ventral ganglion, make diverse synaptic connections in ring neuropil
ASJR	AB.praaappppa	Amphid neurons, single ciliated endings, probably chemo-sensory; project into ring via commissure from ventral ganglion, make diverse synaptic connections in ring neuropil
ASKL	AB.alpppapppa	Amphid neurons, single ciliated endings, probably chemo-sensory; project into ring via commissure from ventral ganglion, make diverse synaptic connections in ring neuropil
ASKR	AB.praaaapppa	Amphid neurons, single ciliated endings, probably chemo-sensory; project into ring via commissure from ventral ganglion, make diverse synaptic connections in ring neuropil
AUAL	AB.alpppppppp	Neuron, process runs with amphid processes but lacks ciliated ending
AUAR	AB.praaappppp	Neuron, process runs with amphid processes but lacks ciliated ending
AVAL	AB.alppaaapa	Ventral cord interneuron, synapses onto VA, DA, and AS motor neurons; formerly called alpha
AVAR	AB.alaappapa	Ventral cord interneuron, synapses onto VA, DA, and AS motor neurons; formerly called alpha
AVBL	AB.plpaapaap	Ventral cord interneuron, synapses onto VB and DB motor neurons; formerly called beta
AVBR	AB.prpaapaap	Ventral cord interneuron, synapses onto VB and DB motor neurons; formerly called beta
AVDL	AB.alaaapalr	Ventral cord interneuron, synapses onto VA, DA, AS motorneurons; formerly called delta
AVDR	AB.alaaapprl	Ventral cord interneuron, synapses onto VA, DA, AS motorneurons; formerly called delta
AVEL	AB.alpppaaaa	Ventral cord interneuron, like AVD but outputs restrict-ed to anterior cord
AVER	AB.praaaaaaa	Ventral cord interneuron, like AVD but outputs restrict-ed to anterior cord
AVFL/R	P1.aaaa	Interneuron, processes in ventral cord and ring, few synapses
AVFL/R	W.aaa	Interneuron, processes in ventral cord and ring, few synapses
AVG	AB.prpapppap	Ventral cord interneuron, few synapses
AVHL	AB.alapaaaaa	Neuron, mainly postsynaptic in ventral cord and presynaptic in the ring
AVHR	AB.alappapaa	Neuron, mainly postsynaptic in ventral cord and presynaptic in the ring
AVJL	AB.alapapppa	Neuron, synapses like AVHL/R
AVJR	AB.alapppppa	Neuron, synapses like AVHL/R
AVKL	AB.plpapapap	Ring and ventral cord interneuron
AVKR	AB.prpapapap	Ring and ventral cord interneuron
AVL	AB.prpappaap	Ring and ventral cord interneuron, few synapses
AVM	QR.paa	Anterior ventral microtubule cell, touch receptor
AWAL	AB.plaapapaa	Amphid wing cells, neurons having ciliated sheet-like sensory endings closely associated with amphid sheath
