,"Spreadsheet of C. elegans cells compiled and maintained by the OpenWorm project (http://openworm.org), originally sourced from WormBase (http://wormbase.org) and WormAtlas (http://wormatlas.org).  Latest version is online at: https://docs.google.com/spreadsheets/d/1NDx9LRF_B2phR5w4HlEtxJzxx1ZIPT2gA0ZmNmozjos/edit#gid=1  For more info, please email at info@openworm.org",,,,,,,,,,,,,,,,,,,
Cell,Lineage Name,Description,Total count of identified adult-only hermaphrodite cells,Total count of adult-only male cells,Neurons (no male-specific cells),Neurons (male-specific),Body wall muscles,Pharynx muscles,Other muscles,Other adult-only cells in the hermaphrodite,Other adult-only hermaphrodite-specific cells (not present in males),Motor neurons related to body wall muscles,Embryonic cells not present in adult,Male-specific cells,Male-specific adult-only cells,Cells with non-unique name,,VirtualWorm blender model names,WormBase ID,Synonyms
,,,959,1136,302,68,95,37,26,499,212,125,,341,321,606,,,,
AB,P0.a,Embryonic founder cell,,,,,,,,,,,1,,,,,,WBbt:0004015,"AB blastomere,lineage name: P0.a"
ADAL,AB.plapaaaapp,Ring interneurons,,,1,,,,,,,,,,,,,,WBbt:0004013,lineage name: ABplapaaaapp
ADAR,AB.prapaaaapp,Ring interneurons,,,1,,,,,,,,,,,,,,WBbt:0004011,lineage name: ABprapaaaapp
ADEL,AB.plapaaaapa,"Anterior deirid, sensory neuron, dopaminergic",,,1,,,,,,,,,,,,,,WBbt:0004009,lineage name: ABplapaaaapa
ADER,AB.prapaaaapa,"Anterior deirid, sensory neuron, dopaminergic",,,1,,,,,,,,,,,,,,WBbt:0004007,lineage name: ABprapaaaapa
ADEshL,AB.arppaaaa,Anterior deirid sheath,,,,,,,,1,,,,,,,,,WBbt:0004005,lineage name: ABarppaaaa
ADEshR,AB.arpppaaa,Anterior deirid sheath,,,,,,,,1,,,,,,,,,WBbt:0004004,lineage name: ABarpppaaa
ADEsoL,H2L.aa,Anterior deirid socket,,,,,,,,1,,,,,,,,,WBbt:0005602,lineage name: H2L.aa
ADEsoR,H2R.aa,Anterior deirid socket,,,,,,,,1,,,,,,,,,WBbt:0005603,lineage name: H2R.aa
ADFL,AB.alpppppaa,"Amphid neuron, prob. chemosensory",,,1,,,,,,,,,,,,,,WBbt:0004003,lineage name: ABalpppppaa
ADFR,AB.praaappaa,"Amphid neuron, prob. chemosensory",,,1,,,,,,,,,,,,,,WBbt:0003999,lineage name: ABpraaappaa
ADLL,AB.alppppaad,"Amphid neuron, prob. chemosensory",,,1,,,,,,,,,,,,,,WBbt:0003997,lineage name: ABalppppaad
ADLR,AB.praaapaad,"Amphid neuron, prob. chemosensory",,,1,,,,,,,,,,,,,,WBbt:0003995,lineage name: ABpraaapaad
AFDL,AB.alpppapav,"Amphid finger cell, neuron associated with amphid sheath",,,1,,,,,,,,,,,,,,WBbt:0003993,lineage name: ABalpppapav
AFDR,AB.praaaapav,"Amphid finger cell, neuron associated with amphid sheath",,,1,,,,,,,,,,,,,,WBbt:0003991,lineage name: ABpraaaapav
AIAL,AB.plppaappa,Amphid interneuron,,,1,,,,,,,,,,,,,,WBbt:0003989,lineage name: ABplppaappa
AIAR,AB.prppaappa,Amphid interneuron,,,1,,,,,,,,,,,,,,WBbt:0003987,lineage name: ABprppaappa
AIBL,AB.plaapappa,Amphid interneuron,,,1,,,,,,,,,,,,,,WBbt:0003985,lineage name: ABplaapappa
AIBR,AB.praapappa,Amphid interneuron,,,1,,,,,,,,,,,,,,WBbt:0003984,lineage name: ABpraapappa
AIML,AB.plpaapppa,Ring interneuron,,,1,,,,,,,,,,,,,,WBbt:0003983,lineage name: ABplpaapppa
AIMR,AB.prpaapppa,Ring interneuron,,,1,,,,,,,,,,,,,,WBbt:0003969,lineage name: ABprpaapppa
AINL,AB.alaaaalal,Ring interneuron,,,1,,,,,,,,,,,,,,WBbt:0003967,lineage name: ABalaaaalal
AINR,AB.alaapaaar,Ring interneuron,,,1,,,,,,,,,,,,,,WBbt:0003965,lineage name: ABalaapaaar
AIYL,AB.plpapaaap,Amphid interneuron,,,1,,,,,,,,,,,,,,WBbt:0003963,lineage name: ABplpapaaap
AIYR,AB.prpapaaap,Amphid interneuron,,,1,,,,,,,,,,,,,,WBbt:0003961,lineage name: ABprpapaaap
