Entity1,Relationship,Entity2,Evidence,Evidence URL
ADAL,Neuropeptide,PDF-1,"Janssen et al., 2008",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3258896/
ADAR,Neuropeptide,PDF-1,"Janssen et al., 2008",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3258896/
ADEL,Neuropeptide,PDF-1,"Janssen et al., 2008",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3258896/
ADEL,Neurotransmitter,Dopamine,"McDonald et al., 2007",https://www.ncbi.nlm.nih.gov/pubmed/18094261
ADEL,Neurotransmitter,Dopamine,"Suo et al., 2003",https://www.ncbi.nlm.nih.gov/pubmed/12887685
ADEL,Receptor,DOP-2,"Suo et al., 2003",https://www.ncbi.nlm.nih.gov/pubmed/12887685
ADEL,Receptor,OCTR-1,"Wragg et al., 2007",https://www.ncbi.nlm.nih.gov/pubmed/18057198
ADEL,Receptor,TYRA-3,"Wragg et al., 2007",https://www.ncbi.nlm.nih.gov/pubmed/18057198
ADER,Neuropeptide,PDF-1,"Janssen et al., 2008",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3258896/
ADER,Neurotransmitter,Dopamine,"McDonald et al., 2007",https://www.ncbi.nlm.nih.gov/pubmed/18094261
ADER,Neurotransmitter,Dopamine,"Suo et al., 2003",https://www.ncbi.nlm.nih.gov/pubmed/12887685
ADER,Receptor,DOP-2,"Suo et al., 2003",https://www.ncbi.nlm.nih.gov/pubmed/12887685
ADER,Receptor,OCTR-1,"Wragg et al., 2007",https://www.ncbi.nlm.nih.gov/pubmed/18057198
ADER,Receptor,TYRA-3,"Wragg et al., 2007",https://www.ncbi.nlm.nih.gov/pubmed/18057198
ADFL,Neuropeptide,FLP-21,"Macosko et al., 2009",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2760495/
ADFL,Neuropeptide,NLP-3,"Nathoo et al., 2001",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC61156/
ADFL,Neurotransmitter,Serotonin,"Jafari et al., 2011",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3153855/
ADFL,Neurotransmitter,Serotonin,"Sze et al., 2000",https://www.ncbi.nlm.nih.gov/pubmed/10676966
ADFL,Receptor,NPR-2,"Luo et al., 2015",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4317659/
ADFL,Receptor,NPR-5,"Cohen et al., 2009",https://www.ncbi.nlm.nih.gov/pubmed/19356718
ADFL,Receptor,NTR-1,"Garrison et al., 2012",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3597094/
ADFL,Receptor,NTR-2,"Garrison et al., 2012",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3597094/
ADFR,Neuropeptide,FLP-21,"Macosko et al., 2009",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2760495/
ADFR,Neuropeptide,NLP-3,"Nathoo et al., 2001",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC61156/
ADFR,Neurotransmitter,Serotonin,"Jafari et al., 2011",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3153855/
ADFR,Neurotransmitter,Serotonin,"Sze et al., 2000",https://www.ncbi.nlm.nih.gov/pubmed/10676966
ADFR,Receptor,NPR-2,"Luo et al., 2015",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4317659/
ADFR,Receptor,NPR-5,"Cohen et al., 2009",https://www.ncbi.nlm.nih.gov/pubmed/19356718
ADFR,Receptor,NTR-1,"Garrison et al., 2012",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3597094/
ADFR,Receptor,NTR-2,"Garrison et al., 2012",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3597094/
