Source,Target,Weight,Type
I1L , I2L           ,10,chemical
I1L , I3            ,3,chemical
I1L , I5            ,2,chemical
I1L , I6            ,1,chemical
I1L , M2L           ,3,chemical
I1L , M3L           ,8,chemical
I1L , M3R           ,2,chemical
I1L , MCL           ,2,chemical
I1L , MCR           ,2,chemical
I1L , MI            ,2,chemical
I1L , NSML          ,3,chemical
I1L , pm1vl         ,2,chemical
I1L , pm3vl         ,7,chemical
I1L , pm4d          ,1,chemical
I1L , pm4vl         ,2,chemical
I1R , I2R           ,6,chemical
I1R , I3            ,1,chemical
I1R , I5            ,2,chemical
I1R , M1            ,1,chemical
I1R , M2L           ,1,chemical
I1R , M2R           ,3,chemical
I1R , M3L           ,1,chemical
I1R , M3R           ,6,chemical
I1R , MCL           ,3,chemical
I1R , MCR           ,4,chemical
I1R , MI            ,1,chemical
I1R , NSML          ,1,chemical
I1R , NSMR          ,2,chemical
I1R , pm1vr         ,1,chemical
I1R , pm3vr         ,5,chemical
I1R , pm4d          ,1,chemical
I1R , pm4vr         ,2,chemical
I1R , pm5vr         ,1,chemical
I2L , I1L           ,2,chemical
I2L , I2R           ,3,chemical
I2L , I4            ,13,chemical
I2L , I5            ,2,chemical
I2L , M1            ,1,chemical
I2L , NSML          ,14,chemical
I2L , NSMR          ,24,chemical
I2L , pm3vl         ,1,chemical
I2L , pm4vl         ,2,chemical
I2L , pm5d          ,1,chemical
I2L , pm5vl         ,2,chemical
I2L , pm5vr         ,1,chemical
I2R , I1R           ,1,chemical
I2R , I2L           ,3,chemical
I2R , I4            ,20,chemical
I2R , I5            ,2,chemical
I2R , M1            ,3,chemical
I2R , M2R           ,2,chemical
I2R , M3R           ,2,chemical
I2R , M4            ,3,chemical
I2R , MCL           ,1,chemical
I2R , NSML          ,34,chemical
I2R , NSMR          ,7,chemical
I2R , pm1vr         ,1,chemical
I2R , pm3vr         ,1,chemical
I2R , pm4d          ,2,chemical
I2R , pm4vl         ,1,chemical
I2R , pm5vl         ,1,chemical
I2R , pm5vr         ,4,chemical
I3 , I1L           ,1,chemical
I3 , I5            ,2,chemical
I3 , I6            ,1,chemical
I3 , M1            ,2,chemical
I3 , M2L           ,2,chemical
I3 , M3L           ,2,chemical
I3 , M3R           ,2,chemical
I3 , M4            ,2,chemical
I3 , MCL           ,1,chemical
I3 , MCR           ,2,chemical
I3 , MI            ,1,chemical
I3 , NSMR          ,2,chemical
I3 , pm4d          ,2,chemical
I3 , pm5d          ,4,chemical
I4 , I2R           ,7,chemical
I4 , I5            ,2,chemical
I4 , M2L           ,5,chemical
I4 , M3L           ,6,chemical
I4 , M3R           ,22,chemical
I4 , MI            ,1,chemical
I4 , NSML          ,8,chemical
I4 , NSMR          ,15,chemical
I4 , pm4d          ,1,chemical
I4 , pm5vl         ,11,chemical
I4 , pm5vr         ,2,chemical
I5 , I1L           ,2,chemical
I5 , I2L           ,3,chemical
I5 , I2R           ,1,chemical
I5 , I3            ,1,chemical
I5 , I4            ,7,chemical
I5 , M1            ,3,chemical
I5 , M2L           ,4,chemical
I5 , M3L           ,4,chemical
I5 , M3R           ,2,chemical
I5 , M4            ,19,chemical
I5 , MI            ,4,chemical
I5 , NSML          ,1,chemical
I5 , NSMR          ,5,chemical
I5 , pm5vl         ,4,chemical
I5 , pm5vr         ,14,chemical
I6 , I1R           ,1,chemical
I6 , I2L           ,1,chemical
I6 , I2R           ,4,chemical
I6 , I3            ,12,chemical
I6 , M3L           ,10,chemical
I6 , M4            ,15,chemical
I6 , NSML          ,24,chemical
I6 , NSMR          ,23,chemical
I6 , pm5d          ,13,chemical
M1 , I2L           ,3,chemical
M1 , I2R           ,2,chemical
M1 , I3            ,8,chemical
M1 , I4            ,1,chemical
M1 , I5            ,2,chemical
M1 , MI            ,6,chemical
M1 , NSML          ,2,chemical
M1 , pm2d          ,1,chemical
M1 , pm3vl         ,1,chemical
M1 , pm4d          ,1,chemical
M1 , pm5d          ,3,chemical
M2L , I3            ,2,chemical
M2L , I4            ,8,chemical
M2L , I5            ,2,chemical
M2L , M3L           ,3,chemical
M2L , M3R           ,1,chemical
M2L , pm4d          ,3,chemical
M2L , pm4vl         ,9,chemical
M2L , pm5d          ,2,chemical
M2L , pm5vl         ,21,chemical
M2R , I4            ,1,chemical
M2R , I5            ,3,chemical
M2R , M3L           ,2,chemical
M2R , M3R           ,1,chemical
M2R , NSMR          ,1,chemical
M2R , pm4d          ,3,chemical
M2R , pm4vr         ,3,chemical
M2R , pm5vr         ,12,chemical
M3L , NSML          ,1,chemical
M3L , pm4d          ,17,chemical
M3L , pm4vl         ,6,chemical
M3L , pm5d          ,4,chemical
M3L , pm5vl         ,2,chemical
M3R , M4            ,2,chemical
M3R , pm4d          ,6,chemical
M3R , pm4vr         ,1,chemical
M4 , I4            ,5,chemical
M4 , I5            ,1,chemical
M4 , M2L           ,1,chemical
M4 , M3L           ,1,chemical
M4 , M4            ,15,chemical
M4 , MCL           ,1,chemical
M4 , pm4vr         ,1,chemical
M4 , pm5d          ,69,chemical
M4 , pm5vl         ,50,chemical
M4 , pm5vr         ,72,chemical
M5 , pm5vl         ,1,chemical
M5 , pm5vr         ,3,chemical
M5 , pm6d          ,2,chemical
M5 , pm6vl         ,2,chemical
M5 , pm6vr         ,2,chemical
M5 , pm7d          ,3,chemical
M5 , pm7vr         ,2,chemical
MCL , mc2dr         ,7,chemical
MCL , mc2v          ,13,chemical
MCR , mc2dl         ,6,chemical
MCR , mc2dr         ,4,chemical
MCR , mc2v          ,11,chemical
MI , I1L           ,1,chemical
MI , I3            ,2,chemical
MI , I4            ,1,chemical
MI , M1            ,7,chemical
MI , M2L           ,3,chemical
