ADAL;Interneuron;AB.plapaaaapp
ADAR;Interneuron;AB.prapaaaapp
ADEL;Sensory neuron;AB.plapaaaapa
ADER;Sensory neuron;AB.prapaaaapa
ADFL;Sensory neuron (chemosensory);AB.alpppppaa
ADFR;Sensory neuron (chemosensory);AB.praaappaa
ADLL;Sensory neuron (chemosensory, odorsensory, nociceptive);AB.alppppaad
ADLR;Sensory neuron (chemosensory, odorsensory, nociceptive);AB.praaapaad
AFDL;Sensory neuron (thermosensory and CO2- sensory);AB.alpppapav
AFDR;Sensory neuron (thermosensory and CO2- sensory);AB.praaaapav
AIAL;Interneuron;AB.plppaappa
AIAR;Interneuron;AB.prppaappa
AIBL;Interneuron;AB.plaapappa
AIBR;Interneuron;AB.praapappa
AIML;Interneuron;AB.plpaapppa
AIMR;Interneuron;AB.prpaapppa
AINL;Interneuron;AB.alaaaalal
AINR;Interneuron;AB.alaapaaar
AIYL;Interneuron;AB.plpapaaap
AIYR;Interneuron;AB.prpapaaap
AIZL;Interneuron;AB.plapaaapav
AIZR;Interneuron;AB.prapaaapav
ALA;Interneuron;AB.alapppaaa
ALML;Sensory neuron (Mechanosensory);AB.arppaappa
ALMR;Sensory neuron (Mechanosensory);AB.arpppappa
ALNL;Neuron with unknown function;AB.plapappppap
ALNR;Neuron with unknown function;AB.prapappppap
AQR;Putative sensory neuron (Oxygen sensor);QR.ap
AS1;Motor neuron;P1.apa
AS10;Motor neuron;P10.apa
AS11;Motor neuron;P11.apa
AS2;Motor neuron;P2.apa
AS3;Motor neuron;P3.apa
AS4;Motor neuron;P4.apa
AS5;Motor neuron;P5.apa
AS6;Motor neuron;P6.apa
AS7;Motor neuron;P7.apa
AS8;Motor neuron;P8.apa
AS9;Motor neuron;P9.apa
ASEL;Sensory neuron (Chemosensory);AB.alppppppaa
ASER;Sensory neuron (Chemosensory);AB.praaapppaa
ASGL;Sensory neuron (Chemosensory);AB.plaapapap
ASGR;Sensory neuron (Chemosensory);AB.praapapap
ASHL;Sensory neuron (Osmo-, mechano- and odorsensory, nociceptive);AB.plpaappaa
ASHR;Sensory neuron (Osmo-, mechano- and odorsensory, nociceptive);AB.prpaappaa
ASIL;Sensory neuron (Chemosensory, thermosensory);AB.plaapapppa
ASIR;Sensory neuron (Chemosensory, thermosensory);AB.praapapppa
ASJL;Sensory neuron;AB.alpppppppa
ASJR;Sensory neuron;AB.praaappppa
ASKL;Sensory neuron (Chemosensory);AB.alpppapppa
ASKR;Sensory neuron (Chemosensory);AB.praaaapppa
AUAL;Interneuron;AB.alpppppppp
AUAR;Interneuron;AB.praaappppp
AVAL;Interneuron;AB.alppaaapa
AVAR;Interneuron;AB.alaappapa
AVBL;Interneuron;AB.plpaapaap
AVBR;Interneuron;AB.prpaapaap
AVDL;Interneuron;AB.alaaapalr
AVDR;Interneuron;AB.alaaapprl
AVEL;Interneuron;AB.alpppaaaa
AVER;Interneuron;AB.praaaaaaa
AVFL;Interneuron;W.aaa
AVFR;Interneuron;P1.aaaa
AVG;Interneuron;AB.prpapppap
AVHL;Interneuron;AB.alapaaaaa
AVHR;Interneuron;AB.alappapaa
AVJL;Interneuron;AB.alapapppa
AVJR;Interneuron;AB.alapppppa
AVKL;Interneuron;AB.plpapapap
AVKR;Interneuron;AB.prpapapap
AVL;Polymodal (Interneuron/motor neuron);AB.prpappaap
AVM;Sensory neuron (Mechanosensory);QR.paa
AWAL;Sensory neuron (Odorsensory);AB.plaapapaa
AWAR;Sensory neuron (Odorsensory);AB.praapapaa
AWBL;Sensory neuron (Odorsensory);AB.alpppppap
AWBR;Sensory neuron (Odorsensory);AB.praaappap
AWCL;Sensory neuron (Odorsensory and thermosensory);AB.plpaaaaap
AWCR;Sensory neuron (Odorsensory and thermosensory);AB.prpaaaaap
